Description,,Summary Amt.
Beginning balance as of 01/01/2022,,"1,726.31"
Total credits,,"19,979.76"
Total debits,,"-20,298.71"
Ending balance as of 12/31/2022,,"1,407.36"

Date,Description,Amount,Running Bal.
01/01/2022,Beginning balance as of 01/01/2022,,"1,726.31"
01/03/2022,"NAYAX VENDING 42 12/30 PURCHASE HUNT VALLEY MD","-5.50","1,720.81"
01/03/2022,"SPEEDWAY 4959 12/31 PURCHASE SAN DIEGO CA","-45.60","1,675.21"
01/03/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-186.78","1,488.43"
01/04/2022,"PETSMART # 244 01/04 PURCHASE SAN DIEGO CA","-37.09","1,451.34"
01/05/2022,"SPWY66311101 01/05 PURCHASE SAN DIEGO CA","-63.30","1,388.04"
01/06/2022,"DHC 1012 01/05 PURCHASE EL CAJON CA","-29.23","1,358.81"
01/06/2022,"DENNY'S #6715 01/06 PURCHASE SANTA ANA CA","-58.89","1,299.92"
01/10/2022,"UNITED XXXXX871993 01/06 PURCHASE 800-932-2732 TX","-117.20","1,182.72"
01/10/2022,"TRAVEL GUARD GROUP INC 01/07 PURCHASE 877-934-8308 WI","-14.00","1,168.72"
01/10/2022,"ROMAN 01/07 PURCHASE WWW.GETROMAN. NY","-27.00","1,141.72"
01/10/2022,"Riot* AN2UJQXVRYVN 01/08 PURCHASE 866-373-9211 CA","-19.99","1,121.73"
01/10/2022,"Riot* AN2U82TGXA5H 01/08 PURCHASE 866-373-9211 CA","-4.99","1,116.74"
01/13/2022,"Zelle Transfer Conf# uwhuy8byv; Quang Vo","-20.00","1,096.74"
01/13/2022,"PETSMART # 009 01/13 PURCHASE SANTA ANA CA","-12.01","1,084.73"
01/14/2022,"GOLDEN GATE CHINESE FAS 01/13 PURCHASE SANTA ANA CA","-18.83","1,065.90"
01/18/2022,"61053 - GARAGE A 01/13 PURCHASE SANTA ANA CA","-0.75","1,065.15"
01/18/2022,"STARBUCKS STORE 05867 01/13 PURCHASE SAN DIEGO CA","-5.65","1,059.50"
01/18/2022,"YOGURTLAND CA210 01/13 PURCHASE SANTA ANA CA","-5.95","1,053.55"
01/18/2022,"GALLEGOS MEXICAN RESTAU 01/14 PURCHASE SAN DIEGO CA","-21.66","1,031.89"
01/18/2022,"Amazon Prime*XH09352C3 01/15 PURCHASE Amzn.com/bill WA","-14.00","1,017.89"
01/18/2022,"TST* BB.Q CHICKEN USA - 01/16 PURCHASE SAN DIEGO CA","-27.99","989.90"
01/18/2022,"SPEEDWAY 4959 01/16 PURCHASE SAN DIEGO CA","-54.48","935.42"
01/19/2022,"IN N OUT BURGER 279 01/18 PURCHASE SANTEE CA","-16.11","919.31"
01/20/2022,"APPLE.COM/BILL 01/19 PURCHASE 866-712-7753 CA","-4.99","914.32"
01/24/2022,"CHEVRON 0094991 01/21 PURCHASE SAN DIEGO CA","-35.84","878.48"
01/24/2022,"MURPHY'S MARKE 01/22 PURCHASE SAN DIEGO CA","-9.98","868.50"
01/24/2022,"SHELL SERVICE 01/22 PURCHASE SAN DIEGO CA","-40.08","828.42"
01/24/2022,"ARCO42381001 01/23 PURCHASE IRVINE CA","-43.21","785.21"
01/25/2022,"KANG HODONG BAEKJEONG 01/23 PURCHASE LOS ANGELES CA","-116.72","668.49"
01/26/2022,"BKOFAMERICA MOBILE 01/26 XXXXX34535 DEPOSIT *MOBILE CA","2,000.00","2,668.49"
01/28/2022,"JACK IN THE BOX 0413 01/26 PURCHASE OAKLAND CA","-18.70","2,649.79"
